"","C","ii","A","pi","m","zeta","r"
"1",0,0,0,0,0,0,0.0101010101010101
"2",0.167645962691876,-0.707070616687453,0,-0.167365385844722,-0.83403048956634,-1,0.167365385844722
"3",0.117145475270264,-0.494949466836888,0,-0.950063149329648,-0.583674432194425,-0.7,0.242992532642195
"4",0.0819009269837467,-0.346464637464303,0,-0.665030725728701,-0.408500353613239,-0.49,0.170081258891814
"5",0.057281332121728,-0.242525249590746,0,-0.465515042837897,-0.28591513201307,-0.343,0.119050405373594
"6",0.0400728108561621,-0.169767675797503,0,-0.325857366054764,-0.200123400380225,-0.2401,0.0833321164640178
"7",0.028039162952731,-0.118837373413272,0,-0.228098607559736,-0.14007796124258,-0.16807,0.0583309317622325
"8",0.0196216349188427,-0.0831861615071068,0,-0.159668267057441,-0.0980504493044432,-0.117649,0.0408308936441682
"9",0.0137323144199009,-0.0582303130943915,0,-0.111767415629881,-0.0686332945724955,-0.0823542999999999,0.0285812541227738
"10",0.0096112339859511,-0.0407612191793513,0,-0.0782370090788438,-0.0480423166387856,-0.05764801,0.0200066959844524
"11",0.00672718480423384,-0.0285328534300411,0,-0.0547658172708877,-0.0336291368336905,-0.040353607,0.0140045980915363
"12",0.00470869673085961,-0.0199729974025797,0,-0.0383360284481212,-0.0235401582497019,-0.0282475249,0.00980317501808012
"13",0.00329592474621609,-0.013981098182316,0,-0.0268351985327688,-0.0164779943916948,-0.01977326743,0.00686220113018916
"14",0.00230706747765819,-0.00978676872780432,0,-0.0187846284974757,-0.0115345390493626,-0.013841287201,0.0048035303151597
"15",0.00161490811334541,-0.00685073810952688,0,-0.0131492348156369,-0.00807414939343332,-0.00968890104069999,0.00336246608783259
"16",0.0011304165109971,-0.00479551667668405,0,-0.00920446185615444,-0.00565189088457263,-0.00678223072848999,0.00235372374662755
"17",0.000791282165568674,-0.00335686167370428,0,-0.00644312206707389,-0.00395631691082476,-0.00474756150994299,0.00164760539038984
"18",0.000553892913868204,-0.00234980317156373,0,-0.00451018484318934,-0.00276941855050783,-0.0033232930569601,0.00115332316948506
"19",0.000387722784744859,-0.00164486222009718,0,-0.00315712909438626,-0.00193859137470609,-0.00232630513987207,0.000807325922822526
"20",0.000271404844398582,-0.00115140355406197,0,-0.00220999022110789,-0.00135701317307557,-0.00162841359791045,0.000565128001010707
"21",0.000189982849674308,-0.000805982487874987,0,-0.0015469930837456,-0.00094990883445778,-0.00113988951853731,0.00039558952968363
"22",0.000132987729495326,-0.000564187741481335,0,-0.00108289512382531,-0.000664935994643123,-0.000797922662976119,0.00027691263595032
"23",9.30912806396123e-05,-0.00039493141907529,0,-0.000758026569633788,-0.000465455103382251,-0.000558545864083283,0.000193838828152453
"24",6.51638327520132e-05,-0.000276451993343543,0,-0.000530618590379658,-0.00032581852689173,-0.000390982104858298,0.000135687171304368
"25",4.56146517224809e-05,-0.000193516395338537,0,-0.000371433009179162,-0.00022807294651761,-0.000273687473400809,9.49810158356185e-05
"26",3.19302409179656e-05,-0.000135461476748547,0,-0.000260003104403235,-0.000159651051645504,-0.000191581231380566,6.64867090646975e-05
"27",2.23511611441296e-05,-9.48230336954986e-05,0,-0.000182002172107774,-0.000111755730813901,-0.000134106861966396,4.65406953592268e-05
"28",1.56458091149503e-05,-6.63761236056534e-05,0,-0.000127401519993785,-7.82290089484938e-05,-9.38748033764774e-05,3.25784862982866e-05
"29",1.09520645885652e-05,-4.64632864828618e-05,0,-8.91810637619287e-05,-5.47603049794176e-05,-6.57123623635342e-05,2.28049401562753e-05
"30",7.66644432381725e-06,-3.2524300569263e-05,0,-6.2426744522222e-05,-3.83322128483243e-05,-4.59986536544739e-05,1.59634580393602e-05
"31",5.36651059146465e-06,-2.2767010412518e-05,0,-4.3698721096888e-05,-2.68325486940668e-05,-3.21990575581317e-05,1.1174420527625e-05
"32",3.75655719864199e-06,-1.59369072886412e-05,0,-3.05891047543523e-05,-1.87827839392973e-05,-2.25393402906922e-05,7.82209434183429e-06
"33",2.6295899235862e-06,-1.11558351063856e-05,0,-2.1412373310587e-05,-1.31479486964459e-05,-1.57775382034845e-05,5.47546602194579e-06
"34",1.84071289321963e-06,-7.80908458002105e-06,0,-1.49886613148579e-05,-9.20356404421341e-06,-1.10442767424392e-05,3.83282620847226e-06
"35",1.2884990185924e-06,-5.46635919168592e-06,0,-1.0492062907912e-05,-6.44249481540626e-06,-7.73099371970743e-06,2.6829783278909e-06
"36",9.01949293030668e-07,-3.82645145412946e-06,0,-7.34444405111241e-06,-4.50974635413104e-06,-5.4116956037952e-06,1.87808485942649e-06
"37",6.31364494019238e-07,-2.67851598140939e-06,0,-5.14111081612065e-06,-3.15682244789173e-06,-3.78818692265664e-06,1.31465936199119e-06
"38",4.41955139152128e-07,-1.87496121215741e-06,0,-3.59877757668999e-06,-2.20977570686287e-06,-2.65173084585965e-06,9.20261595280599e-07
"39",3.0936859740649e-07,-1.31247283111091e-06,0,-2.51914429973209e-06,-1.54684300923691e-06,-1.85621159210175e-06,6.44183087574678e-07
"40",2.16558015964097e-07,-9.18731018692553e-07,0,-1.76340101686879e-06,-1.08279010202494e-06,-1.29934811447123e-06,4.50928185757881e-07
"41",1.51590606733976e-07,-6.43111696188581e-07,0,-1.23438071298855e-06,-7.57953078078799e-07,-9.09543680129859e-07,3.15649694295993e-07
"42",1.06113429154675e-07,-4.50178187262618e-07,0,-8.64066514445239e-07,-5.30567156875605e-07,-6.36680576090901e-07,2.20954818256658e-07
"43",7.42793826447041e-08,-3.15124724925564e-07,0,-6.04846543260341e-07,-3.71397024245823e-07,-4.45676403263631e-07,1.54668355997724e-07
"44",5.19955856148613e-08,-2.20587309009146e-07,0,-4.23392589155851e-07,-2.59977905869846e-07,-3.11973482284541e-07,1.08267864230287e-07
"45",3.63968855054964e-08,-1.54411136828181e-07,0,-2.96374809139731e-07,-1.81984538549784e-07,-2.18381437599179e-07,7.57875001305846e-08
"46",2.54778420583079e-08,-1.08087765994525e-07,0,-2.07462357723481e-07,-1.27389165882619e-07,-1.52867006319425e-07,5.30512208953004e-08
"47",1.78344894408156e-08,-7.56614592159477e-08,0,-1.45223657494391e-07,-8.91724138973871e-08,-1.07006904423598e-07,3.71358914998666e-08
"48",1.24841248450025e-08,-5.29630313564344e-08,0,-1.01656562459236e-07,-6.24207130428545e-08,-7.49048330965183e-08,2.59951032432884e-08
"49",8.73889849373199e-09,-3.70741241526029e-08,0,-7.11595958682852e-08,-4.369449246866e-08,-5.24333831675628e-08,1.81965645118507e-08
"50",6.11721784338215e-09,-2.59518590645103e-08,0,-4.98117177877839e-08,-3.0586144728062e-08,-3.67033682172938e-08,1.2737593635181e-08
"51",4.28204138813726e-09,-1.81663286843992e-08,0,-3.48681913292965e-08,-2.14103068607585e-08,-2.56923577521057e-08,8.91633226478628e-09
"52",2.99742453080398e-09,-1.27164213187259e-08,0,-2.44077298272984e-08,-1.49872114718619e-08,-1.7984650426474e-08,6.24140114289927e-09
"53",2.09818828977859e-09,-8.90148805360313e-09,0,-1.70854182097725e-08,-1.04910524711954e-08,-1.25892552985318e-08,4.36899689104666e-09
"54",1.46873624373711e-09,-6.23107381664267e-09,0,-1.19597805049818e-08,-7.34374783206704e-09,-8.81247870897225e-09,3.05829245137869e-09
"55",1.02811092972388e-09,-4.36176008505873e-09,0,-8.37186501837975e-09,-5.14062126200088e-09,-6.16873509628046e-09,2.14079120173708e-09
"56",7.19690973483011e-10,-3.05320473764636e-09,0,-5.86030442383919e-09,-3.59843266295456e-09,-4.31811456739625e-09,1.49854433878046e-09
"57",5.03774799653911e-10,-2.13727126274765e-09,0,-4.10221314238151e-09,-2.51891840719054e-09,-3.02268019717743e-09,1.04900840473515e-09
"58",3.52651241541935e-10,-1.49606785293521e-09,0,-2.87155694392776e-09,-1.76322290101893e-09,-2.11587613802417e-09,7.34285681180108e-10
"59",2.46846987295157e-10,-1.04726539940092e-09,0,-2.01007709032703e-09,-1.23427934539677e-09,-1.48111329661691e-09,5.14009237391822e-10
"60",1.72795111552659e-10,-7.330868551092e-10,0,-1.4070543074654e-09,-8.63986659993543e-10,-1.03677930763197e-09,3.5978890806448e-10
"61",1.20947696302665e-10,-5.13150286152175e-10,0,-9.84939349936805e-10,-6.04793992664554e-10,-7.25745515342325e-10,2.51852494827605e-10
"62",8.46656078579144e-11,-3.59207108502346e-10,0,-6.89453592608831e-10,-4.23361345980311e-10,-5.08021860739569e-10,1.76303306456656e-10
"63",5.92637050544909e-11,-2.51463086464732e-10,0,-4.82640165427056e-10,-2.96351831963193e-10,-3.55615302517545e-10,1.2343305692471e-10
"64",4.14779321999958e-11,-1.76010248043035e-10,0,-3.37834683358927e-10,-2.07456274381457e-10,-2.48930711762263e-10,8.63715968941951e-11
"65",2.90434343241941e-11,-1.23201969459696e-10,0,-2.364881380491e-10,-1.4521717162097e-10,-1.74251498233642e-10,6.04778900060652e-11
"66",2.03170813506404e-11,-8.62296345438551e-11,0,-1.65550410577018e-10,-1.01652020134679e-10,-1.21976048763504e-10,4.23484411173211e-11
"67",1.42330591756945e-11,-6.04027244888172e-11,0,-1.15880123967896e-10,-7.11652958784725e-11,-8.53832341344014e-11,2.96504894240408e-11
"68",9.9475983006414e-12,-4.22651497133941e-11,0,-8.11065903523043e-11,-4.98157071149308e-11,-5.97682638940054e-11,2.07038658634870e-11
"69",6.97220059464598e-12,-2.95687085927199e-11,0,-5.6787584471554e-11,-3.48721052034762e-11,-4.18377847258276e-11,1.45224347581599e-11
"70",4.86277684785819e-12,-2.06992409323981e-11,0,-3.97520075312742e-11,-2.44249065417534e-11,-2.9286449307997e-11,1.01832989385543e-11
"71",3.39728245535298e-12,-1.45066250678560e-11,0,-2.78235312643773e-11,-1.71085368094737e-11,-2.05005145155371e-11,7.12429033197922e-12
"72",2.37587727269783e-12,-1.01658265139193e-11,0,-1.94828800690117e-11,-1.19793064357054e-11,-1.4350360160865e-11,4.97625500115569e-12
"73",1.66533453693773e-12,-7.11375403028569e-12,0,-1.36429609789055e-11,-8.38218383591993e-12,-1.00452521125467e-11,3.47713446498622e-12
"74",1.17683640610267e-12,-4.96529900528841e-12,0,-9.54206683254778e-12,-5.86197757002083e-12,-7.03167647883199e-12,2.42831280226209e-12
"75",7.99360577730113e-13,-3.48124307159026e-12,0,-6.67899624922907e-12,-4.10782519111308e-12,-4.92217353519679e-12,1.71369724394065e-12
"76",5.77315972805081e-13,-2.45029690981724e-12,0,-4.67061784579792e-12,-2.87547763377916e-12,-3.44552147465922e-12,1.18937477420766e-12
"77",3.99680288865056e-13,-1.7052331768852e-12,0,-3.27275305845239e-12,-2.02060590481778e-12,-2.41186503227305e-12,8.22456148635149e-13
"78",2.88657986402541e-13,-1.18793863634892e-12,0,-2.29260378620502e-12,-1.40998324127395e-12,-1.68830552258608e-12,5.87370609319817e-13
"79",1.99840144432528e-13,-8.27810042736132e-13,0,-1.60855418318623e-12,-9.88098491916389e-13,-1.18181386572775e-12,4.20615546837315e-13
"80",1.33226762955019e-13,-5.88244730703735e-13,0,-1.12143737859561e-12,-6.99440505513849e-13,-8.27269705922669e-13,2.93627335859477e-13
"81",8.88178419700125e-14,-4.67161032080554e-13,0,-7.94814266389217e-13,-4.9960036108132e-13,-5.79088794107936e-13,2.06569535685482e-13
"82",6.66133814775094e-14,-2.75821032680312e-13,0,-5.59668133125884e-13,-3.44169137633799e-13,-4.05362155909462e-13,9.25071010453297e-14
"83",4.44089209850063e-14,-1.97411531566161e-13,0,-3.84743185797044e-13,-2.44249065417534e-13,-2.83753509088999e-13,1.08922153116732e-13
"84",2.22044604925031e-14,-1.36002320516582e-13,0,-2.74569791873869e-13,-1.66533453693773e-13,-1.98627456379569e-13,7.71582603077079e-14
"85",2.22044604925031e-14,-9.8358821087885e-14,0,-1.80972377707685e-13,-1.33226762955019e-13,-1.390392194769e-13,4.49700571911034e-14
"86",2.22044604925031e-14,-6.73072708679001e-14,0,-1.44672842050432e-13,-8.88178419700125e-14,-9.73274535617932e-14,4.63140209625467e-14
"87",0,-7.42461647718073e-14,0,-9.77480679737439e-14,-5.55111512312578e-14,-6.81292174746737e-14,3.04407971058438e-14
"88",0,-3.13984949151802e-14,0,-6.06600428966024e-14,-4.44089209850063e-14,-4.76904522153652e-14,-1.3586121875205e-14
"89",0,-2.84494650060196e-14,0,-3.93910643319921e-14,-3.33066907387547e-14,-3.33833165739746e-14,7.99256941681186e-15
"90",0,-7.97972798949331e-15,0,-4.2292055506001e-14,-1.11022302462516e-14,-2.33683215653294e-14,1.38425904999814e-14
"91",0,-7.28583859910259e-15,0,-2.35781357755386e-14,-1.11022302462516e-14,-1.63578250222803e-14,1.55984077860453e-14
"92",0,-2.42861286636753e-15,0,-1.48030137784581e-14,-1.11022302462516e-14,-1.14504774902799e-14,7.51717517935551e-15
"93",0,-2.1163626406917e-14,0,-9.92024149486896e-15,-1.11022302462516e-14,-8.01533421121029e-15,7.49162862850143e-15
"94",0,-1.90819582357449e-15,0,-5.94385931742438e-15,-1.11022302462516e-14,-5.6107338957474e-15,-1.52197670894927e-14
"95",-1.11022302462516e-14,-1.38777878078145e-15,0,-1.33276565158736e-14,-1.11022302462516e-14,-3.92751369867729e-15,1.14194606922992e-14
"96",-1.11022302462516e-14,-1.04083408558608e-15,0,-3.51250192210421e-15,-1.11022302462516e-14,-2.7492595528331e-15,2.12472314132277e-15
"97",-1.11022302462516e-14,-5.20417042793042e-16,0,-2.45962422077193e-15,-1.11022302462516e-14,-1.92448167062986e-15,1.41879013518585e-15
"98",-1.11022302462516e-14,-3.46944695195361e-16,0,-1.67650916807434e-15,-1.11022302462516e-14,-1.34713721223733e-15,1.1560921252813e-15
"99",-1.11022302462516e-14,-3.46944695195361e-16,0,-1.16517608724928e-15,-1.11022302462516e-14,-9.42996086222187e-16,8.1823139205392e-16
"100",-1.11022302462516e-14,-1.73472347597681e-16,0,-8.4996024086269e-16,-1.11022302462516e-14,-6.60097267542303e-16,5.03015545667329e-16
"101",-1.11022302462516e-14,-1.73472347597681e-16,0,-5.88494052405683e-16,-1.11022302462516e-14,-4.62068011709966e-16,4.15021704808002e-16
"102",-1.11022302462516e-14,0,0,-4.25808050571994e-16,-1.11022302462516e-14,-3.23447596360807e-16,2.52335702974313e-16
"103",-1.11022302462516e-14,0,0,-2.97785965974927e-16,-1.11022302462516e-14,-2.26413374456538e-16,2.97785965974927e-16
"104",-1.11022302462516e-14,-1.73472347597681e-16,0,-1.9496646776432e-16,-1.11022302462516e-14,-1.58489393441051e-16,1.9496646776432e-16
"105",-1.11022302462516e-14,-1.73472347597681e-16,0,-1.59286264921451e-16,-1.11022302462516e-14,-1.10942581264642e-16,-1.41860826762299e-17
"106",-1.11022302462516e-14,0,0,-1.03034492142124e-16,-1.11022302462516e-14,-7.7659828511503e-17,-7.04378554555571e-17
"107",-1.11022302462516e-14,1.73472347597681e-16,0,-7.05038180918305e-17,-1.11022302462516e-14,-5.43618598488457e-17,7.05038180918305e-17
"108",-1.11022302462516e-14,0,0,-3.05461504135146e-17,-1.11022302462516e-14,-3.80532626756567e-17,2.04018498011195e-16
"109",-1.11022302462516e-14,0,0,-3.27045425591108e-17,-1.11022302462516e-14,-2.66372552159096e-17,3.27045425591108e-17
"110",-1.11022302462516e-14,0,0,-3.36725898859281e-17,-1.11022302462516e-14,-1.86460558152055e-17,3.36725898859281e-17
"111",-1.11022302462516e-14,0,0,-1.78665799298488e-17,-1.11022302462516e-14,-1.3052134979825e-17,1.78665799298488e-17
"112",-1.11022302462516e-14,1.73472347597681e-16,0,-1.21158454608585e-17,-1.11022302462516e-14,-9.13651417242945e-18,1.21158454608585e-17
"113",-1.11022302462516e-14,0,0,2.23231289115991e-17,-1.11022302462516e-14,-6.39562306059443e-18,1.51149218686082e-16
"114",-1.11022302462516e-14,0,0,2.80894522492059e-18,-1.11022302462516e-14,-4.47689197611273e-18,-2.80894522492059e-18
"115",-1.11022302462516e-14,0,0,-5.76568345314253e-18,-1.11022302462516e-14,-3.13385412099709e-18,5.76568345314253e-18
"116",-1.11022302462516e-14,0,0,2.02753025561298e-17,-1.11022302462516e-14,-2.19372568577001e-18,-2.02753025561298e-17
"117",-1.11022302462516e-14,0,0,3.94573887705117e-18,-1.11022302462516e-14,-1.53556352012716e-18,-3.94573887705117e-18
"118",-1.11022302462516e-14,0,0,5.38958906342261e-18,-1.11022302462516e-14,-1.07484425651487e-18,-5.38958906342261e-18
"119",-1.11022302462516e-14,-1.73472347597681e-16,0,-6.38562410736382e-18,-1.11022302462516e-14,-7.52427927806411e-19,6.38562410736382e-18
"120",-1.11022302462516e-14,0,0,-2.4375513003411e-17,-1.11022302462516e-14,-5.26700771426132e-19,-1.4909683459427e-16
"121",-1.11022302462516e-14,0,0,5.21243102533378e-18,-1.11022302462516e-14,-3.68701110671039e-19,-5.21243102533378e-18
"122",-1.11022302462516e-14,0,0,6.91775715872527e-18,-1.11022302462516e-14,-2.58167084450791e-19,-6.91775715872527e-18
"123",-1.11022302462516e-14,0,0,-2.5524939004249e-18,-1.11022302462516e-14,-1.80746440529922e-19,2.5524939004249e-18
"124",-1.11022302462516e-14,0,0,-8.62689003924359e-18,-1.11022302462516e-14,-1.26549726390455e-19,8.62689003924359e-18
"125",-1.11022302462516e-14,1.73472347597681e-16,0,7.04553022475878e-18,-1.11022302462516e-14,-8.85776102905172e-20,-7.04553022475878e-18
"126",-1.11022302462516e-14,0,0,2.76904766868206e-17,-1.11022302462516e-14,-6.19384165491827e-20,1.4578187091086e-16
"127",-1.11022302462516e-14,0,0,1.37086818583644e-17,-1.11022302462516e-14,-4.32582763609366e-20,-1.37086818583644e-17
"128",-1.11022302462516e-14,0,0,-2.67405472862897e-17,-1.11022302462516e-14,-3.0253203751849e-20,2.67405472862897e-17
"129",-1.11022302462516e-14,0,0,1.0253740138437e-17,-1.11022302462516e-14,-2.12003767353037e-20,-1.0253740138437e-17
"130",-1.11022302462516e-14,-1.73472347597681e-16,0,1.17274430414747e-17,-1.11022302462516e-14,-1.48105459100796e-20,-1.17274430414747e-17
"131",-1.11022302462516e-14,0,0,-2.6171554174876e-17,-1.11022302462516e-14,-1.03151052177393e-20,-1.47300793422805e-16
"132",-1.11022302462516e-14,0,0,1.58273368814285e-17,-1.11022302462516e-14,-7.26831840475701e-21,-1.58273368814285e-17
"133",-1.11022302462516e-14,0,0,2.21633867458931e-17,-1.11022302462516e-14,-5.02912067047156e-21,-2.21633867458931e-17
"134",-1.11022302462516e-14,1.73472347597681e-16,0,1.08143544630586e-17,-1.11022302462516e-14,-3.52759650041086e-21,-1.08143544630586e-17
"135",-1.11022302462516e-14,0,0,3.21743794148176e-17,-1.11022302462516e-14,-2.44709509460429e-21,1.41297968182863e-16
"136",-1.11022302462516e-14,-1.73472347597681e-16,0,1.88399306512168e-17,-1.11022302462516e-14,-1.72519065009406e-21,-1.88399306512168e-17
"137",-1.11022302462516e-14,0,0,-2.58782365255736e-17,-1.11022302462516e-14,-1.219753213243e-21,-1.47594111072107e-16
"138",-1.11022302462516e-14,0,0,3.78996555005065e-17,-1.11022302462516e-14,-8.26135444009442e-22,-3.78996555005065e-17
"139",-1.11022302462516e-14,0,0,3.09929715782427e-17,-1.11022302462516e-14,-5.60364876694004e-22,-3.09929715782427e-17
"140",-1.11022302462516e-14,1.73472347597681e-16,0,2.00013642439041e-17,-1.11022302462516e-14,-3.52283188106826e-22,-2.00013642439041e-17
"141",-1.11022302462516e-14,0,0,5.61761386684033e-17,-1.11022302462516e-14,-1.47426402175216e-22,1.17296208929277e-16
"142",-1.11022302462516e-14,0,0,3.25914090015171e-17,-1.11022302462516e-14,-3.00571506570165e-23,-3.25914090015171e-17
"143",-1.11022302462516e-14,-1.73472347597681e-16,0,3.6054574860797e-18,-1.11022302462516e-14,-2.60565442512491e-23,-3.6054574860797e-18
"144",-1.11022302462516e-14,0,0,8.71019133374471e-18,-1.11022302462516e-14,-8.78096018776734e-25,-1.82182538931425e-16
"145",-1.11022302462516e-14,1.73472347597681e-16,0,3.64669101321246e-17,-1.11022302462516e-14,5.25328979420145e-23,-3.64669101321246e-17
"146",-1.11022302462516e-14,-1.73472347597681e-16,0,6.68768738988791e-17,-1.11022302462516e-14,2.93650010550316e-23,1.06595473698802e-16
"147",-1.11022302462516e-14,0,0,2.60529873181451e-17,-1.11022302462516e-14,1.10659635534782e-22,-1.99525334915826e-16
"148",-1.11022302462516e-14,-6.41847686111419e-15,0,5.23274345513105e-17,-1.11022302462516e-14,1.58268897547762e-22,-5.23274345513105e-17
"149",-1.11022302462516e-14,1.23165366794353e-14,0,-1.02865774849272e-15,-1.11022302462516e-14,3.06579895275987e-22,-5.38981911262146e-15
"150",-1.11022302462516e-14,2.9316826744008e-14,0,-7.05068121943214e-16,-1.11022302462516e-14,4.61489525044531e-22,1.30216048013785e-14
"151",-1.11022302462516e-14,0,0,7.72449311698253e-15,-1.11022302462516e-14,3.23042667391892e-22,2.15923336270255e-14
