"x","ppi","ii","e","r"
-5.79150579150579,0.579150579150579,5.79150579150579,1,5.79150579150579
-1.2158775452183e-23,-1.49295934219513e-23,-2.00430684787477e-22,0,-1.77147398051419e-22
-1.87118227181286e-22,-2.32832867360581e-23,3.94051926364117e-23,0,5.32779909379183e-23
-1.32400952178607e-22,-1.38727983015066e-23,1.39188010259478e-22,0,1.45755959104688e-22
1.20548966704617e-23,-6.56794884520974e-24,-5.9965706825141e-23,0,-5.06422492742835e-23
-3.79335346753612e-23,-9.32345755085746e-24,1.58539730872069e-23,0,2.03879009979934e-23
-1.37840645891337e-23,-4.53392791078648e-24,-4.97905826888626e-23,0,-4.29524609020396e-23
-5.31537455887835e-23,-6.83812178682307e-24,6.12667978636658e-24,0,1.05894355816003e-23
-4.11209135550561e-23,-4.46275579523369e-24,5.26949385642806e-23,0,5.75347455654333e-23
1.77573656699624e-23,-4.83980700115269e-24,-6.03066270676133e-23,0,-5.48314631764597e-23
-3.66648629296054e-23,-5.47516389115357e-24,-1.48311429400302e-23,0,-1.11379920092472e-23
-4.62532968386112e-23,-3.69315093078309e-24,5.08640750364425e-23,0,5.32464052646665e-23
5.24461491897138e-24,-2.38233022822399e-24,-2.32089578703335e-23,0,-1.98045241652491e-23
-1.36657771150671e-23,-3.40443370508444e-24,6.05069567167724e-24,0,8.90544767755209e-24
-3.22052602607136e-24,-2.85475200587485e-24,-1.6433991646633e-23,0,-1.34047688890501e-23
-1.49325148204024e-23,-3.02922275758292e-24,2.60864853012702e-24,0,4.75050363876158e-24
-8.54415534872146e-24,-2.14185510863456e-24,6.55143242822965e-24,0,7.67215655293658e-24
2.16754837611034e-24,-1.12072412470693e-24,-1.02020907793296e-23,0,-1.02365028826565e-23
-8.92838472049181e-24,3.44121033269311e-26,-2.25925486150077e-24,0,-2.28481174039568e-24
-1.05424607913205e-23,2.55568788949107e-26,-8.21549454705814e-24,0,-6.94594737909053e-24
-1.38979657007444e-23,-1.26954716796761e-24,-1.89781604489783e-24,0,-1.48524965542439e-25
-1.37687941155533e-23,-1.74929107935539e-24,-5.97024188034338e-24,0,-4.63934501422121e-24
-1.92088121240711e-23,-1.33089686612217e-24,5.26143479548835e-24,0,6.05316350592268e-24
-1.22115671209701e-23,-7.9172871043433e-25,-4.42993017130585e-24,0,-3.67036505485507e-24
-1.48980630937631e-23,-7.59565116450775e-25,-5.59523681937515e-25,0,1.67529096216864e-26
-1.35092751233398e-23,-5.76276591559202e-25,-4.3620267378917e-24,0,-4.19884673661591e-24
-1.70576145912028e-23,-1.63180001275791e-25,9.52559208449353e-24,0,9.77466082367285e-24
-6.99659770575044e-24,-2.49068739179317e-25,-1.40540918495542e-24,0,-6.77459330203357e-25
-6.27544842364707e-24,-7.27949854752059e-25,-1.18864030315508e-24,0,-9.18715542266988e-25
-6.52141119249391e-24,-2.69924760888091e-25,-7.04105621771332e-24,0,-7.54317235302529e-24
-1.41786073804675e-23,5.02116135311972e-25,1.19038896311181e-23,0,1.12058194115693e-23
-2.26047554979589e-24,6.98070219548809e-25,-9.52551729678193e-24,0,-9.19100826863478e-24
-1.15364025193473e-23,-3.34509028147153e-25,1.28270642235186e-23,0,1.27801685935818e-23
1.16336477450647e-24,4.68956299368273e-26,-1.53947623785432e-23,0,-1.48434609075391e-23
-1.31127933673678e-23,-5.51301471004058e-25,1.02242279666152e-23,0,1.02034733689995e-23
-2.94534595086989e-24,2.07545976156704e-26,-9.27450681038078e-24,0,-9.54860784712343e-24
-1.21165616809037e-23,2.7410103674265e-25,1.35538946122312e-23,0,1.23975512267156e-23
1.01969250222993e-24,1.15634338551557e-24,1.51011514033745e-23,0,1.42796996127302e-23
1.56512992885641e-23,8.2145179064426e-25,-1.55891967222461e-23,0,-1.5449145722118e-23
2.64219974585029e-25,-1.4005100012814e-25,-2.39539007935491e-24,0,-2.2116652250196e-24
-1.94047782445997e-24,-1.8372485433531e-25,8.1019861895706e-25,0,7.45017433593267e-25
-9.07196693936563e-25,6.51811853637933e-26,-1.64702981994238e-23,0,-1.62789862781173e-23
-1.68715627697604e-23,-1.913119213065e-25,1.89824771574814e-23,0,1.81749111399284e-23
1.02255888995881e-24,8.07566017553015e-25,-8.07852066355783e-24,0,-8.33648902023957e-24
-7.26399425680045e-24,2.57968356681742e-25,8.07034083714244e-24,0,7.60086851180858e-24
5.51548951461168e-25,4.69472325333852e-25,-9.20271200354356e-24,0,-9.62540494499054e-24
-8.70907245868841e-24,4.2269294144698e-25,2.51277846153073e-24,0,1.66999290453644e-24
-6.51212234300898e-24,8.42785556994294e-25,4.45814554111067e-24,0,3.39883081126064e-24
-2.84903673326843e-24,1.05931472985003e-24,-3.91009726160553e-24,0,-4.75799248022411e-24
-7.51472405046779e-24,8.47895218618589e-25,7.06476150640414e-24,0,5.89636074248636e-24
-1.5416296306022e-24,1.16840076391778e-24,-9.44133985702682e-25,0,-2.23474627667461e-24
-3.77616065147953e-24,1.29061229097193e-24,5.48788404830164e-24,0,4.18927418686496e-24
4.15328850941032e-25,1.29860986143668e-24,5.71884764392672e-24,0,4.55849658924913e-24
4.95080463316456e-24,1.16035105467759e-24,-4.48269319458131e-24,0,-5.20936263563956e-24
-2.24096561445129e-25,7.26669441058248e-25,1.77145652696666e-24,0,1.07128285911788e-24
8.04541863806068e-25,7.00173667848775e-25,-7.08764714396253e-26,0,-7.06621246812788e-25
2.28729492237685e-25,6.35744775373162e-25,-6.71796678933396e-24,0,-7.31989600354339e-24
-7.00604631805761e-24,6.01929214209438e-25,1.03555903017403e-23,0,9.3457873018634e-24
2.45699465565609e-24,1.00980299987692e-24,-1.25178911473757e-24,0,-2.11947973157787e-24
2.70346151278435e-25,8.67690616840293e-25,2.24921996376291e-24,0,1.53373006223823e-24
1.8391179834611e-24,7.15489901524682e-25,-2.08890010095852e-24,0,-2.60773088305679e-24
-7.4955017905086e-25,5.18830782098267e-25,1.49984662359955e-24,0,1.14284819563927e-24
3.80053172952989e-25,3.56998427960273e-25,1.79438698168523e-24,0,1.41352424793198e-24
1.90351754941627e-24,3.80862733753253e-25,-1.97805911561424e-24,0,-2.30731563899461e-24
-3.6525070959351e-25,3.29256523380371e-25,4.50583423356149e-24,0,4.04002000184545e-24
3.71242816910883e-24,4.65814231716038e-25,-3.84978127110409e-25,0,-5.67244101261019e-25
3.17252252727482e-24,1.8226597415061e-25,-2.60545951908795e-24,0,-2.74658832931679e-24
3.99981500400199e-25,1.41128810228847e-25,6.08054588175243e-25,0,6.1364606200484e-25
9.86593568813307e-25,-5.59147382959773e-27,-1.11167698405226e-24,0,-1.01832258826049e-24
-4.12600384448075e-26,-9.33543957917653e-26,4.41318153878938e-25,0,4.9733103294265e-25
4.01340658436088e-25,-5.60128790637114e-26,-2.56578760911974e-25,0,-1.98772868803429e-25
1.87094985218955e-25,-5.78058921085447e-26,3.15866039844031e-24,0,3.20824660797623e-24
3.38500800837486e-24,-4.95862095359186e-26,-3.01912450907584e-24,0,-2.72759474310881e-24
6.45323777759793e-25,-2.91529765967029e-25,-2.60121548516608e-24,0,-2.28389118170456e-24
-1.63160542141856e-24,-3.17324303461519e-25,1.99540592271213e-24,0,2.1934470987111e-24
6.29270177152773e-25,-1.98041175998971e-25,3.95269863630089e-24,0,4.12747905905508e-24
4.75212405304628e-24,-1.74780422754196e-25,-5.38132930555989e-24,0,-4.78143490875166e-24
-2.71716896382945e-26,-5.99894396808227e-25,-9.4582765003652e-25,0,-4.67905522775823e-25
-4.41440845534935e-25,-4.77922127260697e-25,1.8036884514039e-24,0,2.3487447971997e-24
1.91460727782911e-24,-5.45056345795799e-25,-5.89566488704927e-24,0,-5.16388748997028e-24
-3.22874237004443e-24,-7.31777397078984e-25,-2.61562830978665e-24,0,-2.09807067215221e-24
-5.32489700440623e-24,-5.17557637634438e-25,4.74819503270022e-24,0,4.93623427209677e-24
-3.77854939625625e-25,-1.88039239396553e-25,4.01045552658867e-24,0,3.99940487490922e-24
3.6620166200138e-24,1.10506516794556e-26,-2.11119675293243e-24,0,-1.82209263872283e-24
1.8565509790055e-24,-2.891041142096e-25,-4.57362583669786e-24,0,-4.1382066460012e-24
-2.26066828762026e-24,-4.35419190696651e-25,2.60586363773855e-25,0,5.02861050732908e-25
-1.73063812428777e-24,-2.42274686959053e-25,3.9408193632777e-25,0,5.61018647308619e-25
-1.16548847896721e-24,-1.66936710980849e-25,2.85118893687012e-24,0,2.9315006600557e-24
1.78252122560876e-24,-8.03117231855789e-26,-3.19086572174056e-24,0,-2.89539614944941e-24
-1.0986442900743e-24,-2.95469572291156e-25,2.33845765194293e-24,0,2.54094508027088e-24
1.43551449292583e-24,-2.02487428327948e-25,-1.26268706559472e-24,0,-9.36643484088532e-25
5.15393397740964e-25,-3.26043581506183e-25,1.20003014653485e-24,0,1.5370631752076e-24
2.07592709386065e-24,-3.3703302867275e-25,-2.93271097360695e-24,0,-2.42301637560841e-24
-3.21371255431429e-25,-5.09694597998542e-25,-7.38454067720997e-25,0,-2.61306681699024e-25
-5.50981187313563e-25,-4.77147386021974e-25,-2.43720515155039e-24,0,-2.12921183672839e-24
-2.66382587144737e-24,-3.07993314822e-25,2.0757886318236e-24,0,2.25172915696873e-24
-4.02380894799139e-25,-1.75940525145125e-25,2.86640265098398e-25,0,4.36284092708681e-25
3.92571267694271e-26,-1.49643827610283e-25,-1.38724621419904e-25,0,4.15666326252583e-26
8.70543630911638e-26,-1.80291254045162e-25,-2.24153484538714e-24,0,-2.05015794320432e-24
-1.95735495810381e-24,-1.91376902182823e-25,1.06266584872364e-24,0,1.21762154288382e-24
-7.31156506539048e-25,-1.54955694160183e-25,9.88987703112383e-25,0,1.07690662462967e-24
3.52489815175255e-25,-8.7918921517291e-26,-3.36384934526425e-24,0,-3.23373505126168e-24
-2.87116522151369e-24,-1.30114294002566e-25,5.55944024512989e-24,0,5.4454359021334e-24
2.59330101010435e-24,1.1400434299649e-25,2.3624474729015e-24,0,2.40503959697015e-24
5.00704099559827e-24,-4.25921240686544e-26,-1.17598351649775e-23,0,-1.1431032204262e-23
-6.40550621702804e-24,-3.28802960715492e-25,6.59550715936214e-24,0,6.49047833105977e-24
1.00988420016487e-25,1.05028828302372e-25,-3.25242839770247e-24,0,-3.45158496175579e-24
-3.3247818771424e-24,1.99156564053316e-25,1.20579672129276e-24,0,8.90087613230984e-25
-2.42900029940871e-24,3.15709108061778e-25,8.93038290824623e-24,0,8.53698861904212e-24
6.11027351023851e-24,3.93394289204102e-25,-4.87206797169498e-24,0,-4.81076739804292e-24
1.30273457167253e-24,-6.1300573652065e-26,-6.84660266093327e-24,0,-6.76821455272428e-24
-5.46040291271028e-24,-7.83881082089848e-26,1.00785627273951e-23,0,9.81978058057098e-24
4.36363352429612e-24,2.58782146824163e-25,-7.26668838627361e-24,0,-7.1772624915972e-24
-2.8068161965825e-24,-8.94258946764119e-26,-1.4154260667742e-24,0,-1.60047019852886e-24
-4.40172842167759e-24,1.85044131754655e-25,4.54094742006975e-24,0,4.06727816058639e-24
-3.28996529771227e-25,4.73669259483366e-25,-4.6804351642671e-25,0,-9.08244405989286e-25
-1.23929103734176e-24,4.40200889562576e-25,1.49026835152555e-24,0,9.32006323183446e-25
-3.06087825735078e-25,5.58262028342106e-25,2.15116754382796e-25,0,-3.29803063009617e-25
-6.37278824796185e-25,5.44919817392413e-25,3.06521353490006e-24,0,2.26895837140645e-24
1.64539344971327e-24,7.96255163493609e-25,-3.79349465884701e-25,0,-9.7831831314695e-25
6.77075977699787e-25,5.98968847262249e-25,1.19576629941609e-24,0,6.91681235077424e-25
1.3744308891487e-24,5.04085064338669e-25,-1.59502843262644e-24,0,-2.0617852244721e-24
-6.78661648593481e-25,4.66756791845657e-25,3.94957530640627e-24,0,3.44293023127427e-24
2.77420203408106e-24,5.06645075131995e-25,-4.81292103761798e-24,0,-5.1471849364833e-24
-2.36080170875649e-24,3.34263898865319e-25,2.76358169321797e-24,0,2.26628831451684e-24
-8.48875152959523e-26,4.97293378701121e-25,2.02900331145027e-24,0,1.56898782291482e-24
1.49160187928574e-24,4.60015488535454e-25,-2.22744171281139e-24,0,-2.57578801451155e-24
-1.07871930989333e-24,3.48346301700167e-25,1.74413661597836e-24,0,1.33330202271091e-24
2.59430607436438e-25,4.10834593267447e-25,4.49400083156734e-25,0,8.64651856840648e-26
3.47940018304306e-25,3.62934897472669e-25,8.00828664710313e-25,0,4.33529757895082e-25
7.85982316340749e-25,3.67298906815231e-25,2.94295419856097e-25,0,-8.1751646249244e-26
7.13505774599607e-25,3.76047066105341e-25,9.3954495532765e-26,0,-2.30613655694927e-25
4.92480393488436e-25,3.24568151227692e-25,2.11627659576858e-25,0,-5.51544119688123e-26
4.45110014116597e-25,2.66782071545671e-25,2.34188875160564e-24,0,2.03843689996312e-24
2.49641945234574e-24,3.03451851642514e-25,-4.04814914028841e-24,0,-4.28892260183367e-24
-1.7713698508747e-24,2.40773461545258e-25,7.67903929808264e-24,0,7.2730846422861e-24
5.52520882330587e-24,4.05954655796547e-25,9.65734770683926e-25,0,8.26673126931194e-25
6.38535251879948e-24,1.39061643752732e-25,-1.49574706323543e-23,0,-1.47489166930278e-23
-8.32045019787079e-24,-2.08553939326491e-25,1.45199486373886e-23,0,1.4210677965131e-23
5.92655786955206e-24,3.09270672257583e-25,-1.18216602926129e-23,0,-1.14908418354254e-23
-5.54295788552456e-24,-3.30818457187501e-25,7.24461369310356e-24,0,7.18506796595743e-24
1.66233337945851e-24,5.95457271461256e-26,7.33180987243136e-24,0,7.41335685395728e-24
9.09461760730783e-24,-8.15469815259138e-26,-1.04771003819976e-23,0,-9.79916614520331e-24
-6.79942115828145e-25,-6.77934236794252e-25,-4.04564386288336e-24,0,-3.48242627966814e-24
-4.13292139041053e-24,-5.63217583215227e-25,5.25635263306217e-24,0,5.46743447484833e-24
1.36704164060507e-24,-2.11081841786155e-25,1.13069618012108e-24,0,1.43502264277366e-24
2.83535702235528e-24,-3.04326462652579e-25,-2.3022206637417e-24,0,-1.85512583860971e-24
1.01825530243121e-24,-4.47094825131988e-25,1.02724175934445e-24,0,1.21461057636439e-24
2.29519158643846e-24,-1.87368817019936e-25,-2.00789075125067e-24,0,-1.76385269901235e-24
6.01638408032299e-25,-2.44038052238322e-25,-6.92913195455322e-25,0,-6.92913195455322e-25
0,0,0,0,0
